,CaseID,Address,Street,Neighborhood,Point,point_geom
40,16587738,"841 POLK ST, SAN FRANCISCO, CA, 94109",POLK ST,Tenderloin,"(37.78447031, -122.41964035)",POINT (-122.41964035 37.784470309)
41,16590737,"1750 GEARY BLVD, SAN FRANCISCO, CA, 94115",GEARY BLVD,Japantown,"(37.78473721, -122.43168812)",POINT (-122.431688117 37.78473721)
43,16592427,"1782 MARKET ST, SAN FRANCISCO, CA, 94102",MARKET ST,Lower Haight,"(37.77209898, -122.42335521)",POINT (-122.423355212 37.772098975)
44,16591679,"18 LAPIDGE ST, SAN FRANCISCO, CA, 94110",LAPIDGE ST,Mission Dolores,"(37.76136851, -122.42243721)",POINT (-122.422437211 37.761368512)
46,16598670,"599 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.778495, -122.40989667)",POINT (-122.409896667 37.778495)
47,16590291,"74 RINCON ST, SAN FRANCISCO, CA, 94107",RINCON ST,Rincon Hill,"(37.78449144, -122.39248208)",POINT (-122.392482079 37.78449144)
48,16596456,"1661 15TH ST, SAN FRANCISCO, CA, 94103",15TH ST,Mission,"(37.76616491, -122.42149986)",POINT (-122.42149986 37.76616491)
49,16593052,"1096 EDDY ST, SAN FRANCISCO, CA, 94109",EDDY ST,Cathedral Hill,"(37.78248478, -122.42572434)",POINT (-122.42572434 37.782484776)
50,16596407,"530 MISSION BAY BLVD NORTH, SAN FRANCISCO, CA, 94158",MISSION BAY BLVD NORTH,Mission Bay,"(37.771095, -122.39006667)",POINT (-122.390066667 37.771095)
51,16596176,"752 STOCKTON ST, SAN FRANCISCO, CA, 94108",STOCKTON ST,Chinatown,"(37.79295, -122.40766167)",POINT (-122.407661667 37.79295)
52,16595239,"450 OFARRELL ST, SAN FRANCISCO, CA, 94102",OFARRELL ST,Tenderloin,"(37.7860112, -122.41237868)",POINT (-122.41237868 37.7860112)
53,16592510,"452 2ND ST, SAN FRANCISCO, CA, 94107",2ND ST,Central Waterfront,"(37.78356681, -122.39431903)",POINT (-122.39431903 37.78356681)
54,16588878,"4079 17TH ST, SAN FRANCISCO, CA, 94114",17TH ST,Castro,"(37.76223, -122.43695833)",POINT (-122.436958333 37.76223)
