,CaseID,Address,Street,Neighborhood,Point,point_geom,Mapped Neighborhood,geometry
4,16598670,"599 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.778495, -122.40989667)",POINT (-122.409896667 37.778495),South of Market,POINT (-122.40989667 37.778495)
27,16597746,"592 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.778725, -122.40968333)",POINT (-122.409683333 37.778725),South of Market,POINT (-122.40968333 37.778725)
29,16589155,"1048 FOLSOM ST, SAN FRANCISCO, CA, 94103",FOLSOM ST,South of Market,"(37.77776156, -122.40679386)",POINT (-122.40679386 37.777761558),South of Market,POINT (-122.40679386 37.77776156)
36,16598748,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77882724, -122.40960393)",POINT (-122.40960393 37.77882724),South of Market,POINT (-122.40960393 37.77882724)
42,16588980,Intersection of BRYANT ST and I-80 E ON RAMP,BRYANT ST,Showplace Square,"(37.77277249, -122.40658682)",POINT (-122.406586817 37.772772488),South of Market,POINT (-122.40658682 37.77277249)
52,16592514,Intersection of 4TH ST and BRYANT ST,4TH ST,South of Market,"(37.77955556, -122.39811389)",POINT (-122.39811389 37.77955556),South of Market,POINT (-122.39811389 37.77955556)
56,16595318,Intersection of COLUMBIA SQUARE ST and FOLSOM ST,COLUMBIA SQUARE ST,South of Market,"(37.77767824, -122.40645619)",POINT (-122.406456189 37.777678243),South of Market,POINT (-122.40645619 37.77767824)
57,16587991,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77883175, -122.40959823)",POINT (-122.40959823 37.77883175),South of Market,POINT (-122.40959823 37.77883175)
58,16599166,Intersection of 8TH ST and BRYANT ST,8TH ST,Showplace Square,"(37.7725615, -122.4069632)",POINT (-122.4069632 37.7725615),South of Market,POINT (-122.4069632 37.7725615)
61,16588628,"5 HALLAM ST, SAN FRANCISCO, CA, 94103",HALLAM ST,South of Market,"(37.77600495, -122.40875216)",POINT (-122.408752162 37.776004951),South of Market,POINT (-122.40875216 37.77600495)
63,16595162,"1149 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77828373, -122.41176244)",POINT (-122.41176244 37.77828373),South of Market,POINT (-122.41176244 37.77828373)
69,16591695,Intersection of BRYANT ST and I-80 E ON RAMP,BRYANT ST,Showplace Square,"(37.77281436, -122.40658682)",POINT (-122.406586817 37.77281436),South of Market,POINT (-122.40658682 37.77281436)
76,16595552,"1270 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77665822, -122.41427634)",POINT (-122.41427634 37.77665822),South of Market,POINT (-122.41427634 37.77665822)
79,16595225,"1113 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.7789316, -122.4112245)",POINT (-122.4112245 37.7789316),South of Market,POINT (-122.4112245 37.7789316)
91,16588736,"970 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.7803022, -122.4064671)",POINT (-122.4064671 37.7803022),South of Market,POINT (-122.4064671 37.7803022)
93,16591488,"901 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.77102545, -122.40570487)",POINT (-122.405704874 37.771025454),South of Market,POINT (-122.40570487 37.77102545)
97,16589169,"485 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.78038452, -122.40738416)",POINT (-122.407384159 37.780384518),South of Market,POINT (-122.40738416 37.78038452)
99,16590402,"241 10TH ST, SAN FRANCISCO, CA, 94103",10TH ST,South of Market,"(37.77358, -122.413513)",POINT (-122.413513 37.77358),South of Market,POINT (-122.413513 37.77358)
116,16599836,"1145 MARKET ST, SAN FRANCISCO, CA, 94103",MARKET ST,South of Market,"(37.7795051, -122.41348341)",POINT (-122.41348341 37.7795051),South of Market,POINT (-122.41348341 37.7795051)
120,16594624,"520 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.7810895, -122.4096502)",POINT (-122.4096502 37.7810895),South of Market,POINT (-122.4096502 37.7810895)
123,16594716,"498 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.78065225, -122.40809586)",POINT (-122.40809586 37.78065225),South of Market,POINT (-122.40809586 37.78065225)
124,16591729,"70 ZOE ST, SAN FRANCISCO, CA, 94107",ZOE ST,South of Market,"(37.77958937, -122.39562359)",POINT (-122.39562359 37.77958937),South of Market,POINT (-122.39562359 37.77958937)
140,16599432,"1048 FOLSOM ST, SAN FRANCISCO, CA, 94103",FOLSOM ST,South of Market,"(37.77776667, -122.4068)",POINT (-122.4068 37.777766667),South of Market,POINT (-122.4068 37.77776667)
148,16598741,"551 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77911944, -122.4089)",POINT (-122.4089 37.77911944),South of Market,POINT (-122.4089 37.77911944)
157,16590793,Intersection of PERRY ST and 5TH ST,PERRY ST,South of Market,"(37.77876258, -122.40131996)",POINT (-122.401319957 37.778762578),South of Market,POINT (-122.40131996 37.77876258)
167,16588967,Intersection of I-80 WESTBOUND and I-80 W ON RAMP,I-80 WESTBOUND,Showplace Square,"(37.77249422, -122.40675378)",POINT (-122.406753785 37.772494218),South of Market,POINT (-122.40675378 37.77249422)
172,16596929,"520 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.78123905, -122.40961411)",POINT (-122.409614108 37.781239054),South of Market,POINT (-122.40961411 37.78123905)
173,16597121,"479 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.78046516, -122.40720436)",POINT (-122.40720436 37.78046516),South of Market,POINT (-122.40720436 37.78046516)
177,16598383,Intersection of 4TH ST and STILLMAN ST,4TH ST,South of Market,"(37.78006874, -122.39855625)",POINT (-122.39855625 37.78006874),South of Market,POINT (-122.39855625 37.78006874)
183,16605275,Intersection of FOLSOM ST and RUSS ST,FOLSOM ST,South of Market,"(37.77767014, -122.40677604)",POINT (-122.406776043 37.77767014),South of Market,POINT (-122.40677604 37.77767014)
187,16611862,"1111 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.7790656, -122.4112818)",POINT (-122.4112818 37.7790656),South of Market,POINT (-122.4112818 37.7790656)
190,16602192,"1036 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.7792577, -122.407949)",POINT (-122.407949 37.7792577),South of Market,POINT (-122.407949 37.7792577)
206,16604429,"560 STEVENSON ST, SAN FRANCISCO, CA, 94103",STEVENSON ST,South of Market,"(37.7807612, -122.4112968)",POINT (-122.4112968 37.7807612),South of Market,POINT (-122.4112968 37.7807612)
214,16609066,"450 4TH ST, SAN FRANCISCO, CA, 94107",4TH ST,South of Market,"(37.78025497, -122.3987818)",POINT (-122.398781798 37.780254966),South of Market,POINT (-122.3987818 37.78025497)
215,16601953,"599 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.778495, -122.40989667)",POINT (-122.409896667 37.778495),South of Market,POINT (-122.40989667 37.778495)
216,16616791,Intersection of RUSS ST and TULIP ALY,RUSS ST,South of Market,"(37.7794702, -122.4089857)",POINT (-122.4089857 37.7794702),South of Market,POINT (-122.4089857 37.7794702)
221,16618005,Intersection of RUSS ST and TULIP ALY,RUSS ST,South of Market,"(37.77950826, -122.40913839)",POINT (-122.409138393 37.779508259),South of Market,POINT (-122.40913839 37.77950826)
222,16610246,"592 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77863, -122.40969667)",POINT (-122.409696667 37.77863),South of Market,POINT (-122.40969667 37.77863)
224,16614616,"592 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77861667, -122.409675)",POINT (-122.409675 37.778616667),South of Market,POINT (-122.409675 37.77861667)
240,16611277,"246 SHIPLEY ST, SAN FRANCISCO, CA, 94107",SHIPLEY ST,South of Market,"(37.7790498, -122.4041407)",POINT (-122.4041407 37.7790498),South of Market,POINT (-122.4041407 37.7790498)
242,16610983,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77885586, -122.40961332)",POINT (-122.40961332 37.77885586),South of Market,POINT (-122.40961332 37.77885586)
248,16607861,Intersection of 6TH ST and JESSIE ST,6TH ST,South of Market,"(37.7813754, -122.40927871)",POINT (-122.40927871 37.7813754),South of Market,POINT (-122.40927871 37.7813754)
253,16618748,"114 7TH ST, SAN FRANCISCO, CA, 94103",7TH ST,South of Market,"(37.77864104, -122.41075227)",POINT (-122.410752273 37.778641037),South of Market,POINT (-122.41075227 37.77864104)
266,16612017,"60 ZOE ST, SAN FRANCISCO, CA, 94107",ZOE ST,South of Market,"(37.7797967, -122.3959551)",POINT (-122.3959551 37.7797967),South of Market,POINT (-122.3959551 37.7797967)
267,16621111,Intersection of 5TH ST and SHIPLEY ST,5TH ST,South of Market,"(37.7798425, -122.4028605)",POINT (-122.4028605 37.7798425),South of Market,POINT (-122.4028605 37.7798425)
269,16606590,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77881664, -122.40958951)",POINT (-122.40958951 37.77881664),South of Market,POINT (-122.40958951 37.77881664)
283,16612108,"460 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.78221381, -122.40846299)",POINT (-122.40846299 37.78221381),South of Market,POINT (-122.40846299 37.78221381)
